scenario_id,kpi,strategy_1,strategy_2,mean_1,mean_2,diff,t_statistic,p_raw,p_bonferroni,significance
3,time_to_50pct_people_min,distance,time,41.76,17.29,-24.47,21.592,0.0,0.0,***
3,time_to_50pct_people_min,time,priority,17.29,8.83,-8.46,17.125,0.0,0.0,***
3,time_to_50pct_people_min,distance,priority,41.76,8.83,-32.93,31.571,0.0,0.0,***
4,total_time_min,distance,time,508.95,242.56,-266.39,48.082,0.0,0.0,***
4,total_time_min,time,priority,242.56,293.99,51.44,-18.089,0.0,0.0,***
4,total_time_min,distance,priority,508.95,293.99,-214.95,38.797,0.0,0.0,***
4,total_distance_km,distance,time,126.54,153.17,26.63,-9.929,0.0,0.0,***
4,total_distance_km,time,priority,153.17,189.79,36.62,-13.492,0.0,0.0,***
4,total_distance_km,distance,priority,126.54,189.79,63.25,-23.981,0.0,0.0,***
4,people_reached_within_60min,distance,time,5616.6,9095.83,3479.23,-20.361,0.0,0.0,***
4,people_reached_within_60min,time,priority,9095.83,5362.22,-3733.62,31.032,0.0,0.0,***
4,people_reached_within_60min,distance,priority,5616.6,5362.22,-254.38,1.881,0.060718,0.182153,ns
4,priority1_shelters_reached_within_60min,distance,time,1.66,2.66,1.0,-8.207,0.0,0.0,***
4,priority1_shelters_reached_within_60min,time,priority,2.66,3.17,0.51,-4.901,1e-06,4e-06,***
4,priority1_shelters_reached_within_60min,distance,priority,1.66,3.17,1.51,-18.227,0.0,0.0,***
4,avg_speed_kmh,distance,time,14.81,37.68,22.87,-78.339,0.0,0.0,***
4,avg_speed_kmh,time,priority,37.68,38.65,0.97,-2.704,0.007041,0.021124,*
4,avg_speed_kmh,distance,priority,14.81,38.65,23.84,-93.409,0.0,0.0,***
4,coverage_rate_pct,distance,time,99.95,99.95,0.0,0.0,1.0,1.0,ns
4,coverage_rate_pct,time,priority,99.95,99.95,0.0,0.0,1.0,1.0,ns
4,coverage_rate_pct,distance,priority,99.95,99.95,0.0,0.0,1.0,1.0,ns
4,shelters_reached_within_60min,distance,time,6.46,9.89,3.44,-22.596,0.0,0.0,***
4,shelters_reached_within_60min,time,priority,9.89,3.17,-6.72,51.033,0.0,0.0,***
4,shelters_reached_within_60min,distance,priority,6.46,3.17,-3.29,34.917,0.0,0.0,***
4,time_to_50pct_people_min,distance,time,93.52,37.94,-55.58,14.674,0.0,0.0,***
4,time_to_50pct_people_min,time,priority,37.94,83.25,45.31,-12.388,0.0,0.0,***
4,time_to_50pct_people_min,distance,priority,93.52,83.25,-10.27,2.021,0.043727,0.131181,ns
5,total_time_min,distance,time,627.99,314.61,-313.38,38.387,0.0,0.0,***
5,total_time_min,time,priority,314.61,384.66,70.05,-14.308,0.0,0.0,***
5,total_time_min,distance,priority,627.99,384.66,-243.33,29.273,0.0,0.0,***
