run_timestamp,supply_hub_index,supply_hub,scenario_id,scenario_label,iteration,strategy,strategy_label,demand_level,pct_moderate_zone_flooded,pct_high_zone_flooded,pct_very_high_zone_flooded,mean_occupancy_target,shelters_activated,total_demand_people,realized_mean_occupancy,total_distance_km,total_time_min,avg_speed_kmh,shelters_served,shelters_unreachable,total_people_served,coverage_rate_pct,time_to_50pct_people_min,shelters_reached_within_60min,priority1_shelters_reached_within_60min,people_reached_within_60min,priority1_people_reached_within_60min
2026-05-21T12:29:33,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),5,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2307,0.253,47.206568091812734,59.51634966332291,47.59018490769828,8,0,2320,100.0,5.470197855926489,8,8,2320,2320
2026-05-21T12:29:34,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),6,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1602,0.189,41.583923052028126,86.79095006821593,28.747644554652762,8,0,1615,100.0,12.433970805840412,8,8,1615,1600
2026-05-21T12:29:34,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),6,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1602,0.189,53.56945076160175,62.330762507643335,51.566303962701674,8,0,1615,100.0,5.212653834561397,8,8,1615,1600
2026-05-21T12:29:35,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),6,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1602,0.189,46.88588525003331,58.34361330399197,48.2169847853684,8,0,1615,100.0,5.212653834561397,8,8,1615,1615
2026-05-21T12:29:36,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),7,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2842,0.289,27.199361553577628,65.21742399577006,25.023400085849836,8,0,2855,100.0,12.433970805840412,7,7,2640,2640
2026-05-21T12:29:36,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),7,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2842,0.289,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2855,100.0,5.212653834561397,8,8,2855,2855
2026-05-21T12:29:36,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),7,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2842,0.289,58.25906029285793,68.94947161446835,50.69717774077867,8,0,2855,100.0,5.212653834561397,6,6,2835,2835
2026-05-21T12:29:37,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),8,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1462,0.217,20.770665928026247,47.55891228530178,26.204130746420137,8,0,1475,100.0,12.433970805840412,8,8,1475,1475
2026-05-21T12:29:38,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),8,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1462,0.217,30.187609316597214,36.9098052258513,49.07250384857747,8,0,1475,100.0,5.212653834561397,8,8,1475,1475
2026-05-21T12:29:38,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),8,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1462,0.217,39.02934219865017,49.2872695747402,47.5124824751738,8,0,1475,100.0,5.212653834561397,8,8,1475,1475
2026-05-21T12:29:39,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),9,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1731,0.236,41.583923052028126,86.79095006821593,28.747644554652762,8,0,1740,100.0,12.433970805840412,8,8,1740,1600
2026-05-21T12:29:39,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),9,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1731,0.236,53.56945076160175,62.330762507643335,51.566303962701674,8,0,1740,100.0,7.882613802991733,8,8,1740,1600
2026-05-21T12:29:40,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),9,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1731,0.236,68.49204297115135,77.1369368640243,53.275677585088424,8,0,1740,100.0,8.732202963637748,7,7,1725,1600
2026-05-21T12:29:41,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),10,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2153,0.247,33.571828023885786,69.90453903395958,28.815148619385027,8,0,2175,100.0,12.433970805840412,7,7,2020,2020
2026-05-21T12:29:41,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),10,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2153,0.247,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2175,100.0,9.433411372896227,8,8,2175,2175
2026-05-21T12:29:41,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),10,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2153,0.247,53.38701275438468,62.23720634328633,51.46793941223583,8,0,2175,100.0,8.367844221347685,7,7,2160,2160
2026-05-21T12:29:42,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),11,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1809,0.22,28.474364044583155,67.8732260389167,25.171366419144462,8,0,1825,100.0,12.433970805840412,7,7,1665,1665
2026-05-21T12:29:43,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),11,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1809,0.22,35.87792029620684,44.992173670087176,47.845548284847716,8,0,1825,100.0,5.212653834561397,8,8,1825,1825
2026-05-21T12:29:43,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),11,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1809,0.22,44.77571605661259,57.56956768848007,46.666026361951374,8,0,1825,100.0,5.470197855926489,8,8,1825,1825
2026-05-21T12:29:44,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),12,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1859,0.229,41.583923052028126,86.79095006821593,28.747644554652762,8,0,1870,100.0,19.227893898466103,8,8,1870,1600
2026-05-21T12:29:44,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),12,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1859,0.229,53.56945076160175,62.330762507643335,51.566303962701674,8,0,1870,100.0,9.433411372896227,8,8,1870,1600
2026-05-21T12:29:45,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),12,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1859,0.229,59.14468324566419,68.6581840150879,51.68620530307087,8,0,1870,100.0,8.367844221347685,8,8,1870,1840
2026-05-21T12:29:46,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),13,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2587,0.301,33.571828023885786,69.90453903395958,28.815148619385027,8,0,2605,100.0,19.227893898466103,7,7,2280,2280
2026-05-21T12:29:46,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),13,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2587,0.301,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2605,100.0,9.433411372896227,8,8,2605,2605
2026-05-21T12:29:46,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),13,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2587,0.301,49.52055115461516,62.37308810396881,47.63645924223286,8,0,2605,100.0,8.732202963637748,7,7,2580,2580
2026-05-21T12:29:47,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),14,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2522,0.293,33.571828023885786,69.90453903395958,28.815148619385027,8,0,2540,100.0,12.433970805840412,7,7,2370,2370
2026-05-21T12:29:48,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),14,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2522,0.293,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2540,100.0,5.212653834561397,8,8,2540,2540
2026-05-21T12:29:48,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),14,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2522,0.293,55.096345671908374,64.01225191578133,51.6429377404782,8,0,2540,100.0,5.470197855926489,7,7,2525,2525
2026-05-21T12:29:49,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),15,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2172,0.252,27.199361553577628,65.21742399577006,25.023400085849836,8,0,2190,100.0,12.433970805840412,7,7,2140,2140
2026-05-21T12:29:49,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),15,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2172,0.252,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2190,100.0,5.212653834561397,8,8,2190,2190
2026-05-21T12:29:50,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),15,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2172,0.252,46.351719336208795,59.15199092103285,47.01622239368519,8,0,2190,100.0,5.212653834561397,8,8,2190,2190
2026-05-21T12:29:51,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),16,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,1741,0.269,28.474364044583155,67.8732260389167,25.171366419144462,8,0,1755,100.0,12.433970805840412,7,7,1655,1655
2026-05-21T12:29:51,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),16,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,1741,0.269,35.87792029620684,44.992173670087176,47.845548284847716,8,0,1755,100.0,9.433411372896227,8,8,1755,1755
2026-05-21T12:29:51,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),16,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,1741,0.269,43.92086730100865,57.205208946190005,46.06664474452606,8,0,1755,100.0,8.367844221347685,8,8,1755,1755
2026-05-21T12:29:52,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),17,distance,Strategy 1: Distance (baseline - ignores floods),low,0.0,0.0,0.0,0.25,8,2501,0.258,27.199361553577628,65.21742399577006,25.023400085849836,8,0,2520,100.0,12.433970805840412,7,7,2375,2375
2026-05-21T12:29:53,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),17,time,Strategy 2: Time (flood-aware shortest time),low,0.0,0.0,0.0,0.25,8,2501,0.258,32.28397588226314,44.710175306941956,43.324333658674625,8,0,2520,100.0,5.212653834561397,8,8,2520,2520
2026-05-21T12:29:53,0,Supply_Red_Cross,1,S1: Dry baseline (0% network flooded),17,priority,Strategy 3: Priority-weighted (urgency-first),low,0.0,0.0,0.0,0.25,8,2501,0.258,54.24149691630443,63.64789317349127,51.13271866057193,8,0,2520,100.0,5.212653834561397,7,7,2510,2510
