scenario_id,kpi,strategy_1,strategy_2,cohens_d,magnitude
6,total_time_min,distance,priority,-2.025,large
6,total_distance_km,distance,time,0.821,large
6,total_distance_km,time,priority,0.762,medium
6,total_distance_km,distance,priority,1.59,large
6,people_reached_within_60min,distance,time,1.198,large
6,people_reached_within_60min,time,priority,-0.333,small
6,people_reached_within_60min,distance,priority,1.264,large
6,priority1_shelters_reached_within_60min,distance,time,0.492,small
6,priority1_shelters_reached_within_60min,time,priority,0.461,small
6,priority1_shelters_reached_within_60min,distance,priority,1.399,large
6,avg_speed_kmh,distance,time,3.741,large
6,avg_speed_kmh,time,priority,0.077,negligible
6,avg_speed_kmh,distance,priority,4.081,large
6,coverage_rate_pct,distance,time,0.0,negligible
6,coverage_rate_pct,time,priority,0.0,negligible
6,coverage_rate_pct,distance,priority,0.0,negligible
6,shelters_reached_within_60min,distance,time,2.269,large
6,shelters_reached_within_60min,time,priority,-4.678,large
6,shelters_reached_within_60min,distance,priority,-3.035,large
6,time_to_50pct_people_min,distance,time,-1.019,large
6,time_to_50pct_people_min,time,priority,2.338,large
6,time_to_50pct_people_min,distance,priority,1.446,large
